title, author, rating, format, price, year
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
The Dating Playbook For Men: A Proven 7 Step System To Go From Single To The Woman Of Your Dreams,Andrew Ferebee,4.5 out of 5 stars, ,0.00,2015
The Dating Playbook For Men: A Proven 7 Step System To Go From Single To The Woman Of Your Dreams,Andrew Ferebee,4.5 out of 5 stars, ,0.00,2015
The Tao of Dating: The Smart Woman's Guide to Being Absolutely Irresistible,Ali Binazir,4.5 out of 5 stars, ,9.97,2010
Men Don't Love Women Like You: The Brutal Truth About Dating~ Relationships~ and How to Go from Placeholder to Game Changer,G.L. Lambert,4.5 out of 5 stars, ,9.99,2016
Single~ Dating~ Engaged~ Married: Navigating Life and Love in the Modern Age,Ben Stuart,4.9 out of 5 stars, ,10.48,2017
Boundaries in Dating: How Healthy Choices Grow Healthy Relationships,Henry Cloud,4.6 out of 5 stars, ,11.98,2000
Wired for Dating: How Understanding Neurobiology and Attachment Style Can Help You Find Your Ideal Mate,Stan Tatkin,4.2 out of 5 stars, ,9.99,2016
The New Rules for Love~ Sex~ and Dating,Andy Stanley,4.7 out of 5 stars, ,9.99,2015
Never Chase Men Again: 38 Dating Secrets To Get The Guy~ Keep Him Interested~ And Prevent Dead-End Relationships,Bruce Bryans,4.5 out of 5 stars, ,9.95,2015
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
The Power of the Pussy - How to Get What You Want From Men: Love~ Respect~ Commitment and More!: (Dating and Relationship Advice),Kara King,4.3 out of 5 stars, ,0.00,2014
How To Get A Man Without Getting Played: 29 Dating Secrets to Catch Mr. Right~ Set Your Standards~ and Eliminate Time Wasters,Bruce Bryans,4.7 out of 5 stars, ,0.00,2017
Dating Dutch: Bad Boys Need Love Too,Misti Murphy,4.6 out of 5 stars, ,0.00,2019
Love That Lasts: How We Discovered God's Better Way for Love~ Dating~ Marriage~ and Sex,,4.9 out of 5 stars, ,0.00,2017
Deeper Dating: How to Drop the Games of Seduction and Discover the Power of Intimacy,Ken Page,4.5 out of 5 stars, ,12.99,2014
Josh and Hazel's Guide to Not Dating,Christina Lauren,4.6 out of 5 stars, ,8.99,2018
Dating : Secrets for Introverts - How to Eliminate Dating Fear~ Anxiety and Shyness by Instantly Raising Your Charm and Confidence with These Simple Techniques,James W. Williams,4.2 out of 5 stars, ,0.00,2018
Paranormal Dating Agency Volume 3 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.9 out of 5 stars, ,0.00,2016
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
The Game She Plays: Dating & Marriage,,, ,14.98,2019
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Relationship Agreements: A Simple and Effective Guide for Strengthening Communication~ Reducing Conflict~ and Increasing Intimacy to Design Your Ideal Relationship,Eri Kardos,4.7 out of 5 stars, ,0.00,2017
Together With Christ: A Dating Couples Devotional: 52 Devotions and Bible Studies to Nurture Your Relationship,Chelsea Damon,4.4 out of 5 stars, ,12.74,2018
Love That Lasts: How We Discovered God's Better Way for Love~ Dating~ Marriage~ and Sex,,4.9 out of 5 stars, ,0.00,2017
Paranormal Dating Agency Volume 3 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.9 out of 5 stars, ,0.00,2016
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
