title, author, rating, format, price, year
Chicago 1871: A Science Fiction Thriller,,4.8 out of 5 stars, ,11.99,2019
Faction 9: A Novel of Revolution,James Firelocke,4.6 out of 5 stars, ,0.00,2018
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars, ,15.60,2018
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,4.6 out of 5 stars, ,11.99,2017
The complete novels of Charles Dickens,Charles Dickens,4.6 out of 5 stars, ,0.00,
Little Fires Everywhere,Celeste Ng,4.3 out of 5 stars, ,13.99,2017
Ordinary Grace,William Kent Krueger,4.6 out of 5 stars, ,10.87,2014
The Alchemist,Paulo Coelho,4.6 out of 5 stars, ,10.27,2014
Up from the Sea: A Whose Waves These Are Novella,Amanda Dykes,5.0 out of 5 stars, ,0.00,2019
The Scribner Anthology of Contemporary Short Fiction: 50 North American Stories Since 1970 (Touchstone Books (Paperback)),Michael Martone,4.2 out of 5 stars, ,14.48,2007
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
Faded Over You,,4.4 out of 5 stars, ,0.00,2018
Flowers in the Snow (The Edenville Series Book 1),Danielle Stewart,4.6 out of 5 stars, ,0.00,2015
The Hideaway,Lauren K. Denton,4.5 out of 5 stars, ,5.99,2017
We Were the Lucky Ones: A Novel,Georgia Hunter,4.8 out of 5 stars, ,12.80,2018
Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.8 out of 5 stars, ,8.97,2017
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.8 out of 5 stars, ,12.36,2015
Fallen Star (Project Gauntlet Book 1),Richard Turner,4.3 out of 5 stars, ,0.00,2017
I Love Me Some Him,Ash Ley,4.7 out of 5 stars, ,0.00,2019
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Legal Reserves,James Rosenberg,4.6 out of 5 stars, ,0.00,2018
